,CC,CID,VERSION NR,TABLE,LOCATION CODE,(SUB)TYPE,ROAD NUMBER,ROAD NAME,JUNCTION NUMBER,FIRST NAME,SECOND NAME,AREA REFERENCE,LINEAR REFERENCE,NEGATIVE OFFSET,POSITIVE OFFSET,INTERSECTION REFS,LATITUDE,LONGITUDE,URBAN,INTERRUPT,ISOLATED,IN+,OUT+,IN-,OUT-,PRESENT+,PRESENT-,geometry
159,2,227,3.2,19,46141,P1.11,303,Suksawat Road,,Industrial Ring Rd.,,10.0,2394.0,46140.0,46142.0,,13.66404,100.51696,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51696 13.66404)
160,2,227,3.2,19,46142,P1.11,303,Suksawat Road,,Suk Sawat 35,,10.0,2394.0,46141.0,46143.0,,13.66861,100.5135,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5135 13.66861)
161,2,227,3.2,19,46143,P1.11,303,Suksawat Road,,Chalerm Maha Nakhon Expressway,,10.0,2394.0,46142.0,46144.0,,13.67157,100.50891,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50891 13.67157)
162,2,227,3.2,19,46144,P1.11,303,Suksawat Road,,Pracha Uthit Road,,10.0,2394.0,46143.0,46145.0,,13.67303,100.5065,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5065 13.67303)
163,2,227,3.2,19,46145,P1.11,303,Suksawat Road,,Suk Sawat 27,,10.0,2394.0,46144.0,46146.0,,13.67575,100.50223,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50223 13.67575)
164,2,227,3.2,19,46146,P1.11,303,Suksawat Road,,Rat Burana 16,,10.0,2394.0,46145.0,46147.0,,13.67855,100.4978,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.4978 13.67855)
165,2,227,3.2,19,46147,P1.11,303,Suksawat Road,,Suk Sawat 19,,10.0,2394.0,46146.0,46148.0,,13.68072,100.49442,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49442 13.68072)
166,2,227,3.2,19,46148,P1.11,303,Suksawat Road,,Suk Sawat 26,,10.0,2394.0,46147.0,46149.0,,13.68103,100.49378,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49378 13.68103)
167,2,227,3.2,19,46149,P1.11,303,Suksawat Road,,Rama 2 Road,,10.0,2394.0,46148.0,,,13.68494,100.48766,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48766 13.68494)
169,2,227,3.2,19,46150,P1.11,304,Chaeng Watthana Road,,Uttaraphimuk Elevated Tollway,,10.0,2395.0,,46151.0,,13.88413,100.58158,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.58158 13.88413)
170,2,227,3.2,19,46151,P1.11,304,Chaeng Watthana Road,,Chaeng Watthana 1,,10.0,2395.0,46150.0,46152.0,,13.88138,100.58668,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.58668 13.88138)
