LOCATION CODE,ROAD NAME,FIRST NAME,SECOND NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET,geometry,dist_to_osm_m,positive_ok,negative_ok
46138,Suksawat Road,Suksawat 70,,13.64094,100.52618,,46139,POINT (100.52618 13.64094),3.216622018886112,True,False
46139,Suksawat Road,Suksawat 64,,13.64987,100.52248,46138,46140,POINT (100.52248 13.64987),3.4077271177523962,True,True
46140,Suksawat Road,Suksawat Road,,13.65879,100.51889,46139,46141,POINT (100.51889 13.65879),4.770827376627817,True,True
46141,Suksawat Road,Industrial Ring Rd.,,13.66404,100.51696,46140,46142,POINT (100.51696 13.66404),3.4193062598642245,True,True
46142,Suksawat Road,Suk Sawat 35,,13.66861,100.5135,46141,46143,POINT (100.5135 13.66861),6.239762030308058,True,True
46143,Suksawat Road,Chalerm Maha Nakhon Expressway,,13.67157,100.50891,46142,46144,POINT (100.50891 13.67157),2.861855578830275,True,True
46144,Suksawat Road,Pracha Uthit Road,,13.67303,100.5065,46143,46145,POINT (100.5065 13.67303),1.5458075597562602,True,True
46145,Suksawat Road,Suk Sawat 27,,13.67575,100.50223,46144,46146,POINT (100.50223 13.67575),4.404256489414055,True,True
46146,Suksawat Road,Rat Burana 16,,13.67855,100.4978,46145,46147,POINT (100.4978 13.67855),1.190508240937266,True,True
46147,Suksawat Road,Suk Sawat 19,,13.68072,100.49442,46146,46148,POINT (100.49442 13.68072),5.5071253595884,True,True
46148,Suksawat Road,Suk Sawat 26,,13.68103,100.49378,46147,46149,POINT (100.49378 13.68103),0.8914230417430308,True,True
46149,Suksawat Road,Rama 2 Road,,13.68494,100.48766,46148,,POINT (100.48766 13.68494),1.2106795453340171,False,True
46150,Chaeng Watthana Road,Uttaraphimuk Elevated Tollway,,13.88413,100.58158,,46151,POINT (100.58158 13.88413),0.11719058496298616,True,False
46151,Chaeng Watthana Road,Chaeng Watthana 1,,13.88138,100.58668,46150,46152,POINT (100.58668 13.88138),5.995329706803902,True,True
46152,Chaeng Watthana Road,1/Phahon Yothin Road,,13.87552,100.59673,46151,,POINT (100.59673 13.87552),0.8911186637327984,False,True
8954,Ekkachai Road,Soi Ekkachai 131/Soi Phet Kasem 81,,13.63854,100.37195,,8955,POINT (100.37195 13.63854),0.5447461132086636,True,False
8955,Ekkachai Road,Bang Bon 4 Road,,13.64209,100.37639,8954,8956,POINT (100.37639 13.64209),3.72673006309984,True,True
8956,Ekkachai Road,Bang Kradi Road,,13.64367,100.37838,8955,8957,POINT (100.37838 13.64367),0.6350289153562422,True,True
8957,Ekkachai Road,Bang Bon 3 Road,,13.65028,100.38672,8956,46172,POINT (100.38672 13.65028),1.3453354853521498,True,True
46172,Ekkachai Road,9,,13.66282,100.40556,8957,46173,POINT (100.40556 13.66282),1.40034212742603,True,True
46173,Ekkachai Road,Ekkachai 76,,13.66891,100.4161,46172,46174,POINT (100.4161 13.66891),1.814837645249153,True,True
46174,Ekkachai Road,Bangkhunthian Road,,13.67391,100.42557,46173,46175,POINT (100.42557 13.67391),5.281712952830563,True,True
46175,Ekkachai Road,Bang Bon 1 Road,,13.67469,100.42705,46174,46176,POINT (100.42705 13.67469),1.6399059866462042,True,True
46176,Ekkachai Road,Ekkachai 69,,13.6787,100.43409,46175,46177,POINT (100.43409 13.6787),1.4049549650837558,True,True
46177,Ekkachai Road,Ekkachai 46,,13.68166,100.43923,46176,46178,POINT (100.43923 13.68166),6.558314919669675,True,True
46178,Ekkachai Road,Ekkachai 45,,13.68328,100.44233,46177,46179,POINT (100.44233 13.68328),5.597907779698277,True,True
46179,Ekkachai Road,Ekkachai 43,,13.68497,100.44539,46178,46180,POINT (100.44539 13.68497),0.04513011482508549,True,True
46180,Ekkachai Road,Ekkachai 36,,13.68518,100.44571,46179,46181,POINT (100.44571 13.68518),1.6374230685298252,True,True
46181,Ekkachai Road,Ekkachai 34,,13.68683,100.44874,46180,46182,POINT (100.44874 13.68683),1.3070303442456805,True,True
46182,Ekkachai Road,Ekkachai 32,,13.6887,100.45117,46181,46183,POINT (100.45117 13.6887),6.196998832000438,True,True
46183,Ekkachai Road,Ekkachai 24,,13.69197,100.45467,46182,46184,POINT (100.45467 13.69197),3.8854304616780015,True,True
46184,Ekkachai Road,Ekkachai 10/1,,13.69771,100.45914,46183,46185,POINT (100.45914 13.69771),6.878103363748875,True,True
46185,Ekkachai Road,3242/ Wutthakat Road,,13.69912,100.46722,46184,,POINT (100.46722 13.69912),1.2111276327685123,False,True
46216,Lamlukka Road,Uttaraphimuk Elevated Tollway,,13.95551,100.62107,,46217,POINT (100.62107 13.95551),2.3850144848707755,True,False
46217,Lamlukka Road,Phahon Yothin Road,,13.95044,100.62236,46216,46218,POINT (100.62236 13.95044),7.628886607308433,True,True
46218,Lamlukka Road,Soi Wat Lat Sanun,,13.95181,100.62912,46217,,POINT (100.62912 13.95181),4.595185324486819,False,True
46222,Lamlukka Road,Soi Lam Luk Ka 14,,13.94151,100.64222,,46223,POINT (100.64222 13.94151),1.4337030561648558,True,False
