LOCATION CODE,ROAD NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET
10028,ถนนพหลโยธิน,13.95074,100.62159,,10025.0
10025,ถนนพหลโยธิน,13.95591,100.62096,10028.0,
17015,ถนนสุขุมวิท,13.65791,100.60045,,17002.0
46138,ถนนสุขสวัสดิ์,13.64094,100.52618,46137.0,46139.0
46139,ถนนสุขสวัสดิ์,13.64987,100.52248,46138.0,46140.0
46140,ถนนสุขสวัสดิ์,13.65879,100.51889,46139.0,46141.0
46141,ถนนสุขสวัสดิ์,13.66404,100.51696,46140.0,46142.0
46142,ถนนสุขสวัสดิ์,13.66861,100.5135,46141.0,46143.0
46143,ถนนสุขสวัสดิ์,13.67157,100.50891,46142.0,46144.0
46144,ถนนสุขสวัสดิ์,13.67303,100.5065,46143.0,46145.0
46145,ถนนสุขสวัสดิ์,13.67575,100.50223,46144.0,46146.0
46146,ถนนสุขสวัสดิ์,13.67855,100.4978,46145.0,46147.0
46147,ถนนสุขสวัสดิ์,13.68072,100.49442,46146.0,46148.0
46148,ถนนสุขสวัสดิ์,13.68103,100.49378,46147.0,46149.0
46149,ถนนสุขสวัสดิ์,13.68494,100.48766,46148.0,
46150,ถนนแจ้งวัฒนะ,13.88413,100.58158,,46151.0
46151,ถนนแจ้งวัฒนะ,13.88138,100.58668,46150.0,46152.0
46152,ถนนแจ้งวัฒนะ,13.87552,100.59673,46151.0,
20520,ถนนวิภาวดีรังสิต,13.95203,100.61886,,20518.0
20518,ถนนวิภาวดีรังสิต,13.95591,100.62096,20520.0,
8954,ถนนเอกชัย,13.63854,100.37195,8953.0,8955.0
8955,ถนนเอกชัย,13.64209,100.37639,8954.0,8956.0
8956,ถนนเอกชัย,13.64367,100.37838,8955.0,8957.0
8957,ถนนเอกชัย,13.65028,100.38672,8956.0,46172.0
46172,ถนนเอกชัย,13.66282,100.40556,8957.0,46173.0
46173,ถนนเอกชัย,13.66891,100.4161,46172.0,46174.0
46174,ถนนเอกชัย,13.67391,100.42557,46173.0,46175.0
46175,ถนนเอกชัย,13.67469,100.42705,46174.0,46176.0
46176,ถนนเอกชัย,13.6787,100.43409,46175.0,46177.0
46177,ถนนเอกชัย,13.68166,100.43923,46176.0,46178.0
46178,ถนนเอกชัย,13.68328,100.44233,46177.0,46179.0
46179,ถนนเอกชัย,13.68497,100.44539,46178.0,46180.0
46180,ถนนเอกชัย,13.68518,100.44571,46179.0,46181.0
46181,ถนนเอกชัย,13.68683,100.44874,46180.0,46182.0
46182,ถนนเอกชัย,13.6887,100.45117,46181.0,46183.0
46183,ถนนเอกชัย,13.69197,100.45467,46182.0,46184.0
46184,ถนนเอกชัย,13.69771,100.45914,46183.0,46185.0
46185,ถนนเอกชัย,13.69912,100.46722,46184.0,
46216,ถนนลำลูกกา,13.95551,100.62107,,46217.0
46217,ถนนลำลูกกา,13.95044,100.62236,46216.0,46218.0
46218,ถนนลำลูกกา,13.95181,100.62912,46217.0,46219.0
46222,ถนนลำลูกกา,13.94151,100.64222,46221.0,46223.0
46223,ถนนลำลูกกา,13.93713,100.64177,46222.0,46224.0
46224,ถนนลำลูกกา,13.93293,100.64259,46223.0,46225.0
46225,ถนนลำลูกกา,13.93224,100.65339,46224.0,46226.0
46226,ถนนลำลูกกา,13.93203,100.66005,46225.0,46227.0
46227,ถนนลำลูกกา,13.93235,100.67283,46226.0,46228.0
46228,ถนนลำลูกกา,13.93253,100.67671,46227.0,46229.0
46229,ถนนลำลูกกา,13.93269,100.68275,46228.0,46230.0
46230,ถนนลำลูกกา,13.93272,100.68368,46229.0,46231.0
46231,ถนนลำลูกกา,13.93295,100.68899,46230.0,46232.0
46232,ถนนลำลูกกา,13.93311,100.69435,46231.0,46233.0
15026,พระราม 2,13.60941,100.37696,,54786.0
54786,พระราม 2,13.63267,100.39982,15026.0,15015.0
15015,พระราม 2,13.64081,100.40841,54786.0,15016.0
15016,พระราม 2,13.66649,100.44607,15015.0,15017.0
15017,พระราม 2,13.68223,100.47916,15016.0,15018.0
15018,พระราม 2,13.69392,100.48193,15017.0,15024.0
15024,พระราม 2,13.70471,100.48565,15018.0,
15014,พระราม 2,13.60831,100.37586,15013.0,15025.0
15025,พระราม 2,13.60941,100.37696,15014.0,
46248,,13.81561,100.64215,,46249.0
46249,,13.81741,100.64523,46248.0,46250.0
46250,,13.81849,100.65046,46249.0,46251.0
46251,,13.81914,100.6541,46250.0,46252.0
46252,,13.81981,100.65953,46251.0,46253.0
46253,,13.82041,100.66557,46252.0,46254.0
46254,,13.81995,100.66904,46253.0,46255.0
46255,,13.81901,100.67595,46254.0,46256.0
46256,,13.81981,100.6819,46255.0,
13769,ถนนเพชรเกษม,13.70598,100.33333,,13755.0
13755,ถนนเพชรเกษม,13.70575,100.34552,13769.0,13763.0
13763,ถนนเพชรเกษม,13.70786,100.37373,13755.0,13756.0
13756,ถนนเพชรเกษม,13.70946,100.39165,13763.0,13764.0
13764,ถนนเพชรเกษม,13.71048,100.4035,13756.0,13757.0
13757,ถนนเพชรเกษม,13.7118,100.42078,13764.0,13758.0
13758,ถนนเพชรเกษม,13.71317,100.43757,13757.0,13765.0
13765,ถนนเพชรเกษม,13.71593,100.44646,13758.0,13766.0
13766,ถนนเพชรเกษม,13.72101,100.45814,13765.0,13767.0
13767,ถนนเพชรเกษม,13.72729,100.46965,13766.0,13759.0
13759,ถนนเพชรเกษม,13.7294,100.47417,13767.0,13760.0
13760,ถนนเพชรเกษม,13.72836,100.48059,13759.0,13761.0
13761,ถนนเพชรเกษม,13.72727,100.48713,13760.0,13762.0
13762,ถนนเพชรเกษม,13.72637,100.49246,13761.0,
13768,ถนนเพชรเกษม,13.70598,100.33333,13754.0,
46257,อนามัยงามเจริญ 25,13.65077,100.44884,,46258.0
46258,อนามัยงามเจริญ 25,13.65095,100.45624,46257.0,46259.0
46259,อนามัยงามเจริญ 25,13.65451,100.46461,46258.0,
46260,อนามัยงามเจริญ 5,13.6659,100.45529,,46261.0
46261,อนามัยงามเจริญ 5,13.66883,100.45663,46260.0,
46262,อนามัยงามเจริญ 30,13.64151,100.43209,,46263.0
46263,อนามัยงามเจริญ 30,13.63675,100.4391,46262.0,46264.0
46264,อนามัยงามเจริญ 30,13.6376,100.44674,46263.0,46265.0
46265,อนามัยงามเจริญ 30,13.63781,100.44874,46264.0,
46266,ถนนอนามัยงามเจริญ,13.62661,100.45043,,46267.0
46267,ถนนอนามัยงามเจริญ,13.63454,100.44938,46266.0,46268.0
46268,ถนนอนามัยงามเจริญ,13.63781,100.44874,46267.0,46269.0
46269,ถนนอนามัยงามเจริญ,13.64084,100.44903,46268.0,
46270,อรุณอมรินทร์ 5,13.73625,100.49247,,46271.0
46271,อรุณอมรินทร์ 5,13.73662,100.49293,46270.0,46272.0
46272,อรุณอมรินทร์ 5,13.73775,100.49657,46271.0,
25501,ถนนอรุณอมรินทร์,13.73447,100.49594,,25502.0
25502,ถนนอรุณอมรินทร์,13.73658,100.49298,25501.0,25503.0
25503,ถนนอรุณอมรินทร์,13.73965,100.48948,25502.0,25504.0
25504,ถนนอรุณอมรินทร์,13.74217,100.48754,25503.0,25505.0
25505,ถนนอรุณอมรินทร์,13.74556,100.48549,25504.0,25506.0
25506,ถนนอรุณอมรินทร์,13.7487,100.48404,25505.0,25507.0
25507,ถนนอรุณอมรินทร์,13.75219,100.48356,25506.0,25508.0
25508,ถนนอรุณอมรินทร์,13.75607,100.48341,25507.0,25509.0
25509,ถนนอรุณอมรินทร์,13.75989,100.48269,25508.0,25510.0
25510,ถนนอรุณอมรินทร์,13.76867,100.48581,25509.0,25511.0
25511,ถนนอรุณอมรินทร์,13.77139,100.4886,25510.0,25512.0
25512,ถนนอรุณอมรินทร์,13.77251,100.49184,25511.0,25513.0
25513,ถนนอรุณอมรินทร์,13.76928,100.49662,25512.0,25518.0
25518,ถนนอรุณอมรินทร์,13.76692,100.5011,25513.0,
39000,ถนนอำนวยสงคราม,13.78939,100.51465,,39001.0
39001,ถนนอำนวยสงคราม,13.78759,100.51758,39000.0,39002.0
39002,ถนนอำนวยสงคราม,13.78598,100.52016,39001.0,39005.0
39005,ถนนอำนวยสงคราม,13.78333,100.52441,39002.0,
16000,ถนนบำรุงเมือง,13.7519,100.50202,,16001.0
16001,ถนนบำรุงเมือง,13.75212,100.50451,16000.0,16002.0
16002,ถนนบำรุงเมือง,13.75214,100.50546,16001.0,16003.0
16003,ถนนบำรุงเมือง,13.75187,100.5087,16002.0,16004.0
16004,ถนนบำรุงเมือง,13.75072,100.51203,16003.0,16005.0
16005,ถนนบำรุงเมือง,13.74985,100.5145,16004.0,16006.0
16006,ถนนบำรุงเมือง,13.74909,100.51674,16005.0,16017.0
16017,ถนนบำรุงเมือง,13.74835,100.51897,16006.0,16018.0
16018,ถนนบำรุงเมือง,13.74799,100.52078,16017.0,
46273,บางแค 7,13.69421,100.42907,,46274.0
46274,บางแค 7,13.69142,100.43403,46273.0,
46275,บางแค 7,13.69502,100.42203,,46276.0
46276,บางแค 7,13.69421,100.42907,46275.0,46277.0
46277,บางแค 7,13.69431,100.4316,46276.0,
46278,ถนนบางขุนนนท์,13.76403,100.4738,,46279.0
46279,ถนนบางขุนนนท์,13.7679,100.47042,46278.0,46280.0
46280,ถนนบางขุนนนท์,13.77192,100.46792,46279.0,46281.0
46281,ถนนบางขุนนนท์,13.77699,100.4652,46280.0,46282.0
46282,ถนนบางขุนนนท์,13.77878,100.46524,46281.0,
46283,บางนา,13.65145,100.61956,,46284.0
46284,บางนา,13.65678,100.62248,46283.0,46285.0
46285,บางนา,13.6607,100.62492,46284.0,
17513,ถนนบางนา-ตราด,13.66407,100.65229,,17503.0
17500,ถนนบางนา-ตราด,13.67624,100.59146,,17501.0
17501,ถนนบางนา-ตราด,13.67334,100.60683,17500.0,17502.0
17502,ถนนบางนา-ตราด,13.6643,100.65183,17501.0,17512.0
17512,ถนนบางนา-ตราด,13.66407,100.65229,17502.0,
46286,บางนา-ตราด 1,13.67682,100.61417,,46287.0
46287,บางนา-ตราด 1,13.67235,100.61325,46286.0,
46288,บางนา-ตราด 11,13.67147,100.61779,,46289.0
46289,บางนา-ตราด 11,13.67249,100.61934,46288.0,
46290,บางนา-ตราด 12,13.66616,100.61691,,46291.0
46291,บางนา-ตราด 12,13.67006,100.62057,46290.0,
46292,บางนา-ตราด 17 แยก 1,13.66929,100.62874,,46293.0
46293,บางนา-ตราด 17 แยก 1,13.67017,100.63061,46292.0,
46294,บางนา-ตราด 19,13.66897,100.63043,,46295.0
46295,บางนา-ตราด 19,13.67017,100.63061,46294.0,46296.0
46296,บางนา-ตราด 19,13.67464,100.62998,46295.0,46297.0
46297,บางนา-ตราด 19,13.67806,100.63128,46296.0,
46298,บางนา-ตราด 21,13.66848,100.63276,,46299.0
46299,บางนา-ตราด 21,13.67198,100.6333,46298.0,
46300,บางนา-ตราด 23,13.66812,100.635,,46301.0
46301,บางนา-ตราด 23,13.67364,100.63658,46300.0,46302.0
46302,บางนา-ตราด 23,13.67533,100.64135,46301.0,
46303,บางนา-ตราด 3,13.67204,100.61508,,46304.0
46304,บางนา-ตราด 3,13.67471,100.61758,46303.0,
46305,บางนา-ตราด 30,13.66256,100.63033,,46306.0
46306,บางนา-ตราด 30,13.66781,100.63202,46305.0,
46307,บางนา-ตราด 7,13.67175,100.61656,,46308.0
46308,บางนา-ตราด 7,13.67306,100.61888,46307.0,
46309,บางนา-ตราด 9,13.67158,100.61734,,46310.0
46310,บางนา-ตราด 9,13.67274,100.6192,46309.0,
46315,ถนนบางขุนเทียน,13.65326,100.43054,,46316.0
46316,ถนนบางขุนเทียน,13.65671,100.43003,46315.0,46317.0
46317,ถนนบางขุนเทียน,13.66453,100.42886,46316.0,46318.0
46318,ถนนบางขุนเทียน,13.6689,100.42784,46317.0,46319.0
46319,ถนนบางขุนเทียน,13.67391,100.42557,46318.0,
53519,ถนนบางขุนเทียน-ชายทะเล,13.51918,100.40666,,53518.0
53518,ถนนบางขุนเทียน-ชายทะเล,13.56306,100.41943,53519.0,53517.0
53517,ถนนบางขุนเทียน-ชายทะเล,13.58488,100.42804,53518.0,46320.0
46320,ถนนบางขุนเทียน-ชายทะเล,13.59014,100.42977,53517.0,46321.0
46321,ถนนบางขุนเทียน-ชายทะเล,13.59838,100.43262,46320.0,46322.0
46322,ถนนบางขุนเทียน-ชายทะเล,13.60531,100.43494,46321.0,46323.0
46323,ถนนบางขุนเทียน-ชายทะเล,13.6139,100.43762,46322.0,46324.0
46324,ถนนบางขุนเทียน-ชายทะเล,13.62397,100.43586,46323.0,46325.0
46325,ถนนบางขุนเทียน-ชายทะเล,13.6257,100.43498,46324.0,46326.0
46326,ถนนบางขุนเทียน-ชายทะเล,13.62718,100.43466,46325.0,46327.0
46327,ถนนบางขุนเทียน-ชายทะเล,13.62971,100.43417,46326.0,46328.0
46328,ถนนบางขุนเทียน-ชายทะเล,13.63492,100.43315,46327.0,46329.0
46329,ถนนบางขุนเทียน-ชายทะเล,13.64092,100.43217,46328.0,46330.0
46330,ถนนบางขุนเทียน-ชายทะเล,13.64151,100.43209,46329.0,46331.0
46331,ถนนบางขุนเทียน-ชายทะเล,13.64971,100.43096,46330.0,46332.0
46332,ถนนบางขุนเทียน-ชายทะเล,13.65326,100.43054,46331.0,
41000,ถนนกรุงเทพ-นนทบุรี,13.80635,100.53082,,41001.0
41001,ถนนกรุงเทพ-นนทบุรี,13.81031,100.53131,41000.0,41002.0
41002,ถนนกรุงเทพ-นนทบุรี,13.81275,100.53163,41001.0,41003.0
41003,ถนนกรุงเทพ-นนทบุรี,13.81592,100.53206,41002.0,41004.0
41004,ถนนกรุงเทพ-นนทบุรี,13.81858,100.53237,41003.0,41005.0
41005,ถนนกรุงเทพ-นนทบุรี,13.82249,100.53282,41004.0,41006.0
41006,ถนนกรุงเทพ-นนทบุรี,13.82592,100.53135,41005.0,41007.0
41007,ถนนกรุงเทพ-นนทบุรี,13.82828,100.52844,41006.0,
46334,ถนนกรุงเทพ-นนทบุรี,13.83862,100.51599,46333.0,46335.0
46335,ถนนกรุงเทพ-นนทบุรี,13.83362,100.52204,46334.0,
46336,ถนนบางเพลี้ย,13.73,100.45225,,46337.0
46337,ถนนบางเพลี้ย,13.73077,100.45908,46336.0,
32501,ถนนบ้านหม้อ,13.74211,100.497,,32502.0
32502,ถนนบ้านหม้อ,13.74532,100.49742,32501.0,32503.0
32503,ถนนบ้านหม้อ,13.74721,100.49767,32502.0,32507.0
32507,ถนนบ้านหม้อ,13.75147,100.49819,32503.0,
14170,ถนนบรรทัดทอง,13.74745,100.52377,,14171.0
14171,ถนนบรรทัดทอง,13.75036,100.52481,14170.0,14172.0
14172,ถนนบรรทัดทอง,13.75503,100.5269,14171.0,
46338,แบริ่ง 34,13.64798,100.61266,,46339.0
46339,แบริ่ง 34,13.65305,100.61548,46338.0,
46340,แบริ่ง 39,13.64704,100.63269,,46341.0
46341,แบริ่ง 39,13.64993,100.63497,46340.0,
46342,ถนนบริพัตร,13.75215,100.50542,,46343.0
46343,ถนนบริพัตร,13.75576,100.5062,46342.0,
22510,ถนนบรมราชชนนี,13.7577,100.49493,,22504.0
22504,ถนนบรมราชชนนี,13.76237,100.49067,22510.0,22505.0
22505,ถนนบรมราชชนนี,13.76867,100.48581,22504.0,22506.0
22506,ถนนบรมราชชนนี,13.77338,100.48183,22505.0,22507.0
22507,ถนนบรมราชชนนี,13.77999,100.47567,22506.0,22508.0
22508,ถนนบรมราชชนนี,13.7843,100.47173,22507.0,22509.0
22509,ถนนบรมราชชนนี,13.78766,100.46889,22508.0,
16072,ทางพิเศษบูรพาวิถี,13.65584,100.67095,,20293.0
20293,ทางพิเศษบูรพาวิถี,13.65619,100.67072,16072.0,
16071,ทางพิเศษบูรพาวิถี,13.6552,100.67191,,20292.0
20292,ทางพิเศษบูรพาวิถี,13.65584,100.67095,16071.0,
16077,ทางพิเศษบูรพาวิถี,13.6677,100.63429,,20294.0
20294,ทางพิเศษบูรพาวิถี,13.66835,100.63017,16077.0,
20295,ทางพิเศษบูรพาวิถี,13.65176,100.68785,16079.0,
16088,ทางพิเศษบูรพาวิถี,13.66451,100.65238,,46032.0
46032,ทางพิเศษบูรพาวิถี,13.65629,100.67097,16088.0,46034.0
16074,ทางพิเศษบูรพาวิถี,13.65619,100.67072,46030.0,16097.0
16097,ทางพิเศษบูรพาวิถี,13.6641,100.6523,16074.0,
46026,ทางพิเศษบูรพาวิถี,13.66885,100.6304,,20256.0
20256,ทางพิเศษบูรพาวิถี,13.66788,100.63433,46026.0,
46031,ทางพิเศษบูรพาวิถี,13.65629,100.67097,,20257.0
20257,ทางพิเศษบูรพาวิถี,13.65571,100.67251,46031.0,
16080,ทางพิเศษบูรพาวิถี,13.65139,100.68813,,20296.0
20296,ทางพิเศษบูรพาวิถี,13.64999,100.68743,16080.0,
16081,ทางพิเศษบูรพาวิถี,13.64999,100.68743,,20297.0
46045,ทางพิเศษบูรพาวิถี,13.64999,100.68743,,20298.0
46025,ทางพิเศษบูรพาวิถี,13.67288,100.60897,,46027.0
46027,ทางพิเศษบูรพาวิถี,13.66788,100.63433,46025.0,46028.0
46028,ทางพิเศษบูรพาวิถี,13.66714,100.63908,46027.0,46029.0
46029,ทางพิเศษบูรพาวิถี,13.66612,100.64391,46028.0,16087.0
16087,ทางพิเศษบูรพาวิถี,13.66451,100.65238,46029.0,
16098,ทางพิเศษบูรพาวิถี,13.6641,100.6523,,16075.0
16075,ทางพิเศษบูรพาวิถี,13.66596,100.64314,16098.0,16076.0
16076,ทางพิเศษบูรพาวิถี,13.66676,100.63901,16075.0,16078.0
16078,ทางพิเศษบูรพาวิถี,13.6677,100.63429,16076.0,16086.0
16086,ทางพิเศษบูรพาวิถี,13.6726,100.60889,16078.0,
14116,ถนนแจ้งวัฒนะ,13.8953,100.55436,14113.0,
14114,ถนนแจ้งวัฒนะ,13.89533,100.55428,,14117.0
14117,ถนนแจ้งวัฒนะ,13.8953,100.55436,14114.0,14115.0
14115,ถนนแจ้งวัฒนะ,13.88428,100.58159,14117.0,
46344,ถนนชัยพฤกษ์,13.7878,100.46116,,46345.0
46345,ถนนชัยพฤกษ์,13.79165,100.46343,46344.0,
33505,ถนนจักรพรรดิพงษ์,13.75187,100.5087,,33508.0
33508,ถนนจักรพรรดิพงษ์,13.75501,100.50949,33505.0,33506.0
33506,ถนนจักรพรรดิพงษ์,13.75644,100.50966,33508.0,33507.0
33507,ถนนจักรพรรดิพงษ์,13.75825,100.50951,33506.0,
33501,ถนนจักรวรรดิ,13.74091,100.50102,,33509.0
33509,ถนนจักรวรรดิ,13.74416,100.50442,33501.0,
33000,ถนนจักรเพชร,13.74137,100.50017,,33012.0
33012,ถนนจักรเพชร,13.74502,100.50262,33000.0,
11087,ทางพิเศษเฉลิมมหานคร,13.67831,100.47827,,11088.0
11088,ทางพิเศษเฉลิมมหานคร,13.6713,100.49635,11087.0,11091.0
11091,ทางพิเศษเฉลิมมหานคร,13.67161,100.50759,11088.0,11092.0
11092,ทางพิเศษเฉลิมมหานคร,13.68602,100.51984,11091.0,11094.0
11094,ทางพิเศษเฉลิมมหานคร,13.69199,100.52454,11092.0,46125.0
46125,ทางพิเศษเฉลิมมหานคร,13.69378,100.52771,11094.0,11096.0
11096,ทางพิเศษเฉลิมมหานคร,13.69434,100.52915,46125.0,11099.0
11099,ทางพิเศษเฉลิมมหานคร,13.69752,100.5378,11096.0,11100.0
11100,ทางพิเศษเฉลิมมหานคร,13.70089,100.54137,11099.0,11103.0
11103,ทางพิเศษเฉลิมมหานคร,13.70925,100.54926,11100.0,11126.0
11126,ทางพิเศษเฉลิมมหานคร,13.71492,100.55496,11103.0,
45939,ทางพิเศษเฉลิมมหานคร,13.71201,100.56511,,46095.0
46095,ทางพิเศษเฉลิมมหานคร,13.71253,100.56813,45939.0,
11064,ทางพิเศษเฉลิมมหานคร,13.71132,100.56308,,20029.0
20029,ทางพิเศษเฉลิมมหานคร,13.7125,100.56162,11064.0,
11101,ทางพิเศษเฉลิมมหานคร,13.70785,100.54496,,20043.0
20043,ทางพิเศษเฉลิมมหานคร,13.70925,100.54926,11101.0,
11097,ทางพิเศษเฉลิมมหานคร,13.697,100.53507,,20041.0
20041,ทางพิเศษเฉลิมมหานคร,13.69752,100.5378,11097.0,
11089,ทางพิเศษเฉลิมมหานคร,13.67223,100.50667,,20039.0
20039,ทางพิเศษเฉลิมมหานคร,13.67161,100.50759,11089.0,
45948,ทางพิเศษเฉลิมมหานคร,13.70255,100.59257,,46099.0
46099,ทางพิเศษเฉลิมมหานคร,13.69919,100.59206,45948.0,
45941,ทางพิเศษเฉลิมมหานคร,13.70969,100.58081,,46096.0
46096,ทางพิเศษเฉลิมมหานคร,13.70988,100.57977,45941.0,
45945,ทางพิเศษเฉลิมมหานคร,13.7047,100.58953,,46098.0
46098,ทางพิเศษเฉลิมมหานคร,13.70344,100.59042,45945.0,
11121,ทางพิเศษเฉลิมมหานคร,13.70344,100.59042,,20052.0
20052,ทางพิเศษเฉลิมมหานคร,13.70368,100.59278,11121.0,
11045,ทางพิเศษเฉลิมมหานคร,13.6726,100.60889,,20020.0
20020,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,11045.0,
11047,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,,20022.0
20022,ทางพิเศษเฉลิมมหานคร,13.67576,100.60444,11047.0,
11046,ทางพิเศษเฉลิมมหานคร,13.67185,100.60612,,20021.0
20021,ทางพิเศษเฉลิมมหานคร,13.67361,100.60591,11046.0,
11048,ทางพิเศษเฉลิมมหานคร,13.6742,100.60318,,20023.0
20023,ทางพิเศษเฉลิมมหานคร,13.67576,100.60444,11048.0,
45935,ทางพิเศษเฉลิมมหานคร,13.7158,100.55817,,45937.0
45937,ทางพิเศษเฉลิมมหานคร,13.71303,100.56179,45935.0,45940.0
45940,ทางพิเศษเฉลิมมหานคร,13.71253,100.56813,45937.0,45943.0
45943,ทางพิเศษเฉลิมมหานคร,13.71257,100.57698,45940.0,45944.0
45944,ทางพิเศษเฉลิมมหานคร,13.70912,100.58456,45943.0,45946.0
45946,ทางพิเศษเฉลิมมหานคร,13.7047,100.58953,45944.0,45947.0
45947,ทางพิเศษเฉลิมมหานคร,13.70336,100.59014,45946.0,45949.0
45949,ทางพิเศษเฉลิมมหานคร,13.69919,100.59206,45947.0,11122.0
11122,ทางพิเศษเฉลิมมหานคร,13.69683,100.59431,45949.0,45951.0
45951,ทางพิเศษเฉลิมมหานคร,13.69542,100.59628,11122.0,45952.0
45952,ทางพิเศษเฉลิมมหานคร,13.68554,100.60282,45951.0,11127.0
11127,ทางพิเศษเฉลิมมหานคร,13.67581,100.60497,45952.0,
11068,ทางพิเศษเฉลิมมหานคร,13.7145,100.55537,,11070.0
