start_loc,end_loc
46141,46142
46142,46143
46143,46144
46144,46145
46145,46146
46146,46147
46147,46148
46148,46149
46150,46151
46151,46152
8954,8955
8955,8956
8956,8957
8957,46172
46172,46173
46173,46174
46174,46175
46175,46176
46176,46177
46177,46178
46178,46179
46179,46180
46180,46181
46181,46182
46182,46183
46183,46184
46184,46185
54786,15015
15015,15016
15016,15017
15017,15018
15018,15024
46248,46249
46249,46250
46250,46251
46251,46252
46252,46253
46253,46254
46254,46255
46255,46256
13769,13755
13755,13763
13763,13756
13756,13764
13764,13757
13757,13758
13758,13765
13765,13766
13766,13767
13767,13759
13759,13760
13760,13761
13761,13762
46257,46258
46258,46259
46260,46261
46262,46263
46263,46264
46264,46265
46266,46267
46267,46268
46268,46269
46270,46271
46271,46272
25501,25502
25502,25503
25503,25504
25504,25505
25505,25506
25506,25507
25507,25508
25508,25509
25509,25510
25510,25511
25511,25512
25512,25513
25513,25518
39000,39001
39001,39002
39002,39005
16000,16001
16001,16002
16002,16003
16003,16004
16004,16005
16005,16006
16006,16017
16017,16018
46273,46274
46275,46276
46276,46277
46278,46279
46279,46280
46280,46281
46281,46282
46284,46285
17500,17501
17501,17502
17502,17512
46286,46287
46288,46289
46290,46291
46292,46293
46294,46295
46295,46296
46296,46297
46298,46299
46300,46301
46301,46302
46303,46304
46305,46306
46307,46308
46309,46310
46315,46316
46316,46317
46317,46318
46318,46319
53518,53517
53517,46320
46320,46321
46321,46322
46322,46323
46323,46324
46324,46325
46325,46326
46326,46327
46327,46328
46328,46329
46329,46330
46330,46331
46331,46332
41000,41001
41001,41002
41002,41003
41003,41004
41004,41005
41005,41006
41006,41007
46336,46337
32501,32502
32502,32503
32503,32507
14170,14171
14171,14172
46342,46343
22510,22504
22504,22505
22505,22506
22506,22507
22507,22508
22508,22509
16077,20294
46026,20256
46025,46027
46027,46028
46028,46029
46029,16087
16098,16075
16075,16076
16076,16078
16078,16086
46344,46345
33505,33508
33508,33506
33506,33507
33501,33509
33000,33012
11087,11088
11088,11091
11091,11092
11092,11094
11094,46125
46125,11096
11096,11099
11099,11100
11100,11103
11103,11126
45939,46095
11064,20029
11101,20043
11097,20041
11089,20039
45948,46099
45941,46096
45945,46098
11121,20052
11045,20020
11047,20022
11046,20021
11048,20023
45935,45937
45937,45940
45940,45943
45943,45944
45944,45946
45946,45947
45947,45949
45949,11122
11122,45951
45951,45952
45952,11127
11068,11070
11070,11071
11071,11073
11073,11074
11074,11077
11077,11078
11078,11079
11079,11081
11081,11082
11082,11125
45915,45916
45916,45917
45917,11120
11120,45919
45919,45918
45918,45923
45923,45924
45924,45926
45926,45927
45927,45929
45929,45930
45930,45931
45931,11123
11059,20026
11085,20037
11086,20038
45921,46086
11042,46102
45938,46094
11112,20049
11102,20044
11098,20042
11117,20051
11052,20025
11090,20040
11076,20033
11083,20035
11084,20036
45942,46097
46054,20304
11044,20019
11115,20050
45922,46087
45925,46088
11041,46101
11062,20028
45936,46093
11069,20031
11109,20047
45928,46089
11043,46103
11072,20032
46046,20299
45950,46100
11080,20034
45920,46085
11104,20045
45932,46090
11105,20046
11106,11107
11107,11108
11108,11110
11110,11113
11113,11114
11114,11116
11116,11118
11118,11119
11119,46124
46124,11093
11093,11095
11095,11124
11066,20030
45934,46092
45933,46091
11111,20048
11049,11050
11050,11053
11053,11054
11054,11055
11055,11056
11056,11057
11057,11058
11058,11060
11060,11063
11063,11065
11065,11128
46052,20303
46050,46051
46051,46056
46053,46055
46055,46057
11051,20024
11061,20027
46346,46347
46347,46348
46348,46349
46349,46350
46350,46351
46351,46352
46352,46353
46353,46354
46354,46355
14055,20194
14012,20170
45985,20165
45989,20167
14031,20181
14073,14034
14034,14035
14035,14037
14037,14038
14038,14045
14045,14042
14042,14075
14032,20182
45994,20169
14070,20199
45984,20164
14022,14024
14024,14027
14027,14028
14028,14072
14072,14074
14074,14080
14060,20196
14044,14048
14048,14051
14051,14053
14053,14054
14054,14056
14056,14066
14066,14058
14058,14059
14059,14063
14063,14067
14067,14076
14065,20198
14026,20178
14041,20187
14064,20197
14050,20192
45988,20166
14043,20188
45991,20168
14052,20193
14023,20176
14039,20185
14046,20189
14014,20171
14029,20179
14057,20195
14025,20177
14040,20186
14036,20184
14033,20183
14047,20190
14019,20173
14021,20175
14020,20174
14049,20191
14017,20172
14068,14069
14069,14071
14071,14061
14061,45986
45986,45987
45987,14062
14062,45990
45990,45992
45992,45993
45993,14013
14013,14015
14015,14016
14016,14018
14018,14077
14030,20180
46356,46357
46358,46359
46359,46360
29000,29001
29001,29002
29002,29003
29003,29004
29004,29005
29005,29006
29006,29007
29007,29008
46361,46362
46363,46364
46365,46366
22031,22006
22006,22007
22007,22008
22008,22009
22009,22010
22010,22011
22011,22012
22012,22013
22013,22014
22014,22015
22015,22016
22016,22017
22017,22018
22018,22019
22019,22020
22020,22021
46367,46368
46369,46370
46371,46372
46372,46373
46374,46375
46376,46377
46378,46379
46380,46381
46381,46382
46383,46384
46385,46386
35000,35009
35009,35001
35001,35002
35002,35010
35010,35003
35003,35011
35011,35004
35004,35012
35012,35005
35005,35013
35013,35006
35006,35007
35007,35008
28501,28502
28502,28503
28503,28504
28504,28505
28505,28506
28506,28507
28507,28508
28508,28509
28509,28514
28514,28510
28510,28513
28513,28511
28511,28512
27500,27501
27501,27502
27502,27503
27503,27504
27504,27505
27505,27506
27506,27507
27507,27508
27508,27509
27509,27514
46387,46388
31501,31502
31502,31503
31503,31504
31504,31531
46389,46390
46391,46392
46393,46394
52931,46395
46395,46396
46396,46397
46398,46399
46399,46400
46401,46402
46403,46404
46405,46406
46407,46408
46409,46410
46411,46412
46412,46413
46414,46415
46416,46417
46418,46419
46420,46421
46436,46437
46438,46439
18504,18505
18505,18506
18506,18507
18507,18508
18508,18517
44509,44510
36000,36010
19700,19702
19702,19801
19801,19802
19802,19803
19803,19705
19705,19804
19804,19805
19805,19806
19806,19807
19807,19808
19808,19809
19809,19810
19810,19811
19811,19812
19701,20379
19707,20383
19716,20388
19725,20394
19703,20380
19721,20391
19722,20392
19708,20384
19715,20387
19829,20395
19706,20382
19719,20390
19704,20381
19718,20389
19818,19819
19819,19820
19820,19821
19821,19822
19822,19823
19823,19824
19824,19825
19825,19826
19826,19720
19720,19827
19827,19828
19828,19723
19723,19831
46443,46444
46444,46445
46445,46446
46447,46448
46448,46449
46449,46450
46450,46451
46452,46453
46454,46455
46456,46457
46458,46459
46460,46461
46462,46463
46464,46465
46466,46467
46468,46469
46470,46471
46472,46473
46474,46475
46476,46477
46478,46479
46479,46480
46480,46481
46481,46482
46483,46484
46484,46485
27009,27006
27006,27007
27007,27008
21505,21506
21506,21509
21509,21507
21507,21508
46486,46487
46487,46488
46488,46489
46489,46490
46490,46491
46491,46492
46492,46493
46493,46494
24001,24002
24002,24003
24003,24024
46498,46499
46500,46501
46501,46502
46503,46504
46505,46506
30000,30001
30001,30002
30002,30003
30003,30004
30004,30005
30005,30006
30006,30007
30007,30008
30008,30009
30009,30010
46507,46508
46509,46510
46511,46512
42501,42502
42502,42503
42503,42504
42504,42505
42505,42506
42506,42507
46513,46514
46514,46515
42000,42001
42001,42002
42002,42003
42003,42004
15200,15201
