geometry,name,lon,lat
POINT (100.5673621 13.718573399999999),Shell,100.5673621,13.718573399999999
POINT (100.6106115 13.682754599999999),สยามแก๊ส,100.6106115,13.682754599999999
POINT (100.6280329 13.669622299999999),สยามแก๊ส,100.6280329,13.669622299999999
POINT (100.6321353 13.668892600000001),Esso,100.6321353,13.668892600000001
POINT (100.6703176 13.690079700000002),Susco,100.6703176,13.690079700000002
POINT (100.6594082 13.6764383),เอสโซ่,100.6594082,13.6764383
POINT (100.6296543 13.669353699999998),Caltex,100.6296543,13.669353699999998
POINT (100.4411954 13.662720700000001),ปั้มบางจาก พระราม 2,100.4411954,13.662720700000001
POINT (100.4212989 13.6990059),ป.ต.ท.,100.4212989,13.6990059
POINT (100.40987030000001 13.711032999999999),ปั๊มน้ำมันคาลเท็กซ์,100.40987030000001,13.711032999999999
POINT (100.4104977 13.71046),ปั๊มน้ำมันเชลล์ หจก.สุกิจบริการ,100.4104977,13.71046
POINT (100.54081880000001 13.7688171),PTT SS (Sanampao),100.54081880000001,13.7688171
POINT (100.5306365 13.826822200000002),ปตท,100.5306365,13.826822200000002
POINT (100.5479209 13.803783300000001),GV Station,100.5479209,13.803783300000001
POINT (100.5657445 13.7198335),บางจาก,100.5657445,13.7198335
POINT (100.6432882 13.820642399999999),ป.ต.ท.,100.6432882,13.820642399999999
POINT (100.6422368 13.8223927),ปั้มคาลเท็กซ์,100.6422368,13.8223927
POINT (100.520226 13.786244299999998),PTT,100.520226,13.786244299999998
POINT (100.4559588 13.72011),เชลล์,100.4559588,13.72011
POINT (100.40592490000002 13.651794099999998),ซัสโก้ สาขาบางบอน,100.40592490000002,13.651794099999998
POINT (100.4448601 13.7157914),ป.ต.ท.,100.4448601,13.7157914
POINT (100.5724426 13.866191399999998),บางจาก,100.5724426,13.866191399999998
POINT (100.4408281 13.7143903),ป.ต.ท.,100.4408281,13.7143903
POINT (100.6742629 13.7779259),ป.ต.ท.,100.6742629,13.7779259
POINT (100.6745789 13.7770957),เชลล์,100.6745789,13.7770957
POINT (100.5696125 13.890416600000002),เชลล์,100.5696125,13.890416600000002
POINT (100.568266 13.8908171),ป.ต.ท.,100.568266,13.8908171
POINT (100.562309 13.892159599999998),Shell,100.562309,13.892159599999998
POINT (100.5695645 13.932800099999998),PTT,100.5695645,13.932800099999998
POINT (100.7345268 13.840406599999998),บางจาก,100.7345268,13.840406599999998
POINT (100.7355953 13.900849499999998),ปตท,100.7355953,13.900849499999998
POINT (100.7359686 13.8198127),ปตท,100.7359686,13.8198127
POINT (100.740373 13.820255299999998),ปตท,100.740373,13.820255299999998
POINT (100.5401835 13.699451800000002),Caltex,100.5401835,13.699451800000002
POINT (100.5170691 13.6880548),บางจาก,100.5170691,13.6880548
POINT (100.5122071 13.803217899999998),ป.ต.ท.,100.5122071,13.803217899999998
POINT (100.4080155 13.767558399999999),Jiffy,100.4080155,13.767558399999999
POINT (100.45036810000002 13.707315099999999),ปั๊มแก๊ส หจก. พี.ที แก๊ส,100.45036810000002,13.707315099999999
POINT (100.659257 13.8302908),Susco,100.659257,13.8302908
POINT (100.6302188 13.823061999999998),ป.ต.ท.,100.6302188,13.823061999999998
POINT (100.53593 13.7571853),เชลล์,100.53593,13.7571853
POINT (100.5444184 13.779612199999999),เชลล์,100.5444184,13.779612199999999
POINT (100.6365492 13.845299699999998),ป.ต.ท.,100.6365492,13.845299699999998
POINT (100.6125669 13.865315599999999),ปตท.,100.6125669,13.865315599999999
POINT (100.6133954 13.862277599999997),ปั๊มแก๊ส LPG,100.6133954,13.862277599999997
POINT (100.722747 13.8607023),LPG,100.722747,13.8607023
POINT (100.7341112 13.8460427),LPG,100.7341112,13.8460427
POINT (100.7383583 13.828922200000001),LPG,100.7383583,13.828922200000001
POINT (100.739612 13.8275023),ปตท. NGV,100.739612,13.8275023
POINT (100.7395332 13.8259119),ปตท. NGV,100.7395332,13.8259119
POINT (100.6968722 13.8597113),LPG,100.6968722,13.8597113
POINT (100.5886799 13.738055399999999),บางจาก,100.5886799,13.738055399999999
POINT (100.5221088 13.747508299999998),เชลล์,100.5221088,13.747508299999998
POINT (100.5575983 13.823776699999998),บางจาก,100.5575983,13.823776699999998
POINT (100.5587328 13.825388199999999),ป.ต.ท.,100.5587328,13.825388199999999
POINT (100.5764598 13.887599500000002),Caltex,100.5764598,13.887599500000002
POINT (100.4709083 13.741520199999998),เอสโซ่,100.4709083,13.741520199999998
POINT (100.4812408 13.743425599999998),เชลล์,100.4812408,13.743425599999998
POINT (100.5341245 13.7134726),Bangchak,100.5341245,13.7134726
POINT (100.5320433 13.705159300000004),Shell,100.5320433,13.705159300000004
POINT (100.4221964 13.671819399999999),PTT Gas Station,100.4221964,13.671819399999999
POINT (100.6257551 13.819435),Esso,100.6257551,13.819435
POINT (100.6842955 13.8184026),Ptt gas station,100.6842955,13.8184026
POINT (100.5709398 13.728632100000002),บางจาก,100.5709398,13.728632100000002
POINT (100.511043 13.747568499999996),Shell,100.511043,13.747568499999996
POINT (100.5721 13.736485199999999),บางจาก,100.5721,13.736485199999999
POINT (100.5766904 13.737610899999998),TPI,100.5766904,13.737610899999998
POINT (100.4300386 13.660032399999999),แก๊ส LPG,100.4300386,13.660032399999999
POINT (100.4240479 13.672751699999997),Caltex,100.4240479,13.672751699999997
POINT (100.75455230000001 13.722111499999999),Thai Gas LPG Station,100.75455230000001,13.722111499999999
POINT (100.3939667 13.65648),ปตท,100.3939667,13.65648
POINT (100.3935737 13.6560552),NGV,100.3935737,13.6560552
POINT (100.3873243 13.651165600000002),แก๊สรถยนต์,100.3873243,13.651165600000002
POINT (100.5639652 13.7893907),Shell,100.5639652,13.7893907
POINT (100.4106649 13.795241499999998),ปตท,100.4106649,13.795241499999998
POINT (100.7821783 13.751649599999999),PTT LPG Station,100.7821783,13.751649599999999
POINT (100.39199860000001 13.709144400000003),บางจาก,100.39199860000001,13.709144400000003
POINT (100.5951045 13.768595400000002),เชลล์,100.5951045,13.768595400000002
POINT (100.6006099 13.7671626),Caltex,100.6006099,13.7671626
POINT (100.7108817 13.7218348),N S Gas,100.7108817,13.7218348
POINT (100.5604421 13.796218799999998),Esso,100.5604421,13.796218799999998
POINT (100.8463824 13.704618600000002),Bike Fuel,100.8463824,13.704618600000002
POINT (100.6498295 13.787116499999998),ป.ด.ท,100.6498295,13.787116499999998
POINT (100.735908 13.722056200000003),LGP Gaz,100.735908,13.722056200000003
POINT (100.7315052 13.722447199999998),Tripl,100.7315052,13.722447199999998
POINT (100.5831051 13.8006082),Shell,100.5831051,13.8006082
POINT (100.5399615 13.8350223),ป.ต.ท.,100.5399615,13.8350223
POINT (100.6401476 13.7686146),Shell,100.6401476,13.7686146
POINT (100.4503448 13.6698823),ป.ต.ท.,100.4503448,13.6698823
POINT (100.5282096 13.680339299999998),ปตท,100.5282096,13.680339299999998
POINT (100.5752076 13.7471259),Bangchak,100.5752076,13.7471259
POINT (100.70412270000001 13.722069399999999),Bangchak,100.70412270000001,13.722069399999999
POINT (100.6341966 13.686324099999998),เชลล์,100.6341966,13.686324099999998
POINT (100.3530453 13.705840900000002),เอสโซ่,100.3530453,13.705840900000002
POINT (100.3433537 13.686837899999999),ปตท.,100.3433537,13.686837899999999
POINT (100.5837729 13.886548299999998),ปตท.บริษัท ส.รุ่งวิภา จำกัด,100.5837729,13.886548299999998
POINT (100.5664607 13.717912099999996),Shell,100.5664607,13.717912099999996
POINT (100.58656520000001 13.789093399999995),ปตท,100.58656520000001,13.789093399999995
POINT (100.7181775 13.799968299999996),ซัสโก้,100.7181775,13.799968299999996
POINT (100.5632317 13.829858699999999),Shell,100.5632317,13.829858699999999
